city,median_household_income,year
"Bloomsburg-Berwick, PA",53546.0,2020
"Bloomsburg-Berwick, PA",57015.0,2021
"Bloomsburg-Berwick, PA",61559.0,2022
"Boise City, ID",51024.0,2015
"Boise City, ID",52377.0,2016
"Boise City, ID",54120.0,2017
"Boise City, ID",57105.0,2018
"Boise City, ID",60568.0,2019
"Boise City, ID",64717.0,2020
"Boise City, ID",69801.0,2021
"Boise City, ID",78138.0,2022
"Boise City, ID",82694.0,2023
"Boise City, ID",85987.0,2024
"Boston-Cambridge-Newton, MA-NH",75389.0,2015
"Boston-Cambridge-Newton, MA-NH",77809.0,2016
"Boston-Cambridge-Newton, MA-NH",81838.0,2017
"Boston-Cambridge-Newton, MA-NH",85508.0,2018
"Boston-Cambridge-Newton, MA-NH",90333.0,2019
"Boston-Cambridge-Newton, MA-NH",93537.0,2020
"Boston-Cambridge-Newton, MA-NH",99039.0,2021
"Boston-Cambridge-Newton, MA-NH",107117.0,2022
"Boston-Cambridge-Newton, MA-NH",112484.0,2023
"Boston-Cambridge-Newton, MA-NH",115863.0,2024
"Boulder, CO",70961.0,2015
"Boulder, CO",72282.0,2016
"Boulder, CO",75669.0,2017
"Boulder, CO",78642.0,2018
"Boulder, CO",83019.0,2019
"Boulder, CO",87476.0,2020
"Boulder, CO",92466.0,2021
"Boulder, CO",99770.0,2022
"Boulder, CO",102772.0,2023
"Boulder, CO",103994.0,2024
"Bowling Green, KY",43295.0,2015
"Bowling Green, KY",45356.0,2016
"Bowling Green, KY",46716.0,2017
"Bowling Green, KY",49068.0,2018
"Bowling Green, KY",49700.0,2019
"Bowling Green, KY",51591.0,2020
"Bowling Green, KY",54850.0,2021
"Bowling Green, KY",60914.0,2022
"Bowling Green, KY",62437.0,2023
"Bowling Green, KY",63328.0,2024
"Bozeman, MT",87454.0,2023
"Bozeman, MT",93528.0,2024
"Bremerton-Silverdale, WA",62941.0,2015
"Bremerton-Silverdale, WA",65017.0,2016
"Bremerton-Silverdale, WA",68336.0,2017
"Bremerton-Silverdale, WA",71610.0,2018
"Bremerton-Silverdale-Port Orchard, WA",75411.0,2019
"Bremerton-Silverdale-Port Orchard, WA",78969.0,2020
"Bremerton-Silverdale-Port Orchard, WA",84600.0,2021
"Bremerton-Silverdale-Port Orchard, WA",93675.0,2022
"Bremerton-Silverdale-Port Orchard, WA",98546.0,2023
"Bremerton-Silverdale-Port Orchard, WA",104158.0,2024
"Bridgeport-Stamford-Danbury, CT",111656.0,2023
"Bridgeport-Stamford-Danbury, CT",114565.0,2024
"Bridgeport-Stamford-Norwalk, CT",84233.0,2015
"Bridgeport-Stamford-Norwalk, CT",86670.0,2016
"Bridgeport-Stamford-Norwalk, CT",89773.0,2017
"Bridgeport-Stamford-Norwalk, CT",92969.0,2018
"Bridgeport-Stamford-Norwalk, CT",95645.0,2019
"Bridgeport-Stamford-Norwalk, CT",97539.0,2020
"Bridgeport-Stamford-Norwalk, CT",101194.0,2021
"Bridgeport-Stamford-Norwalk, CT",107351.0,2022
"Brownsville-Harlingen, TX",33266.0,2015
"Brownsville-Harlingen, TX",34578.0,2016
"Brownsville-Harlingen, TX",36095.0,2017
"Brownsville-Harlingen, TX",37132.0,2018
"Brownsville-Harlingen, TX",38758.0,2019
"Brownsville-Harlingen, TX",41200.0,2020
"Brownsville-Harlingen, TX",43057.0,2021
"Brownsville-Harlingen, TX",47435.0,2022
"Brownsville-Harlingen, TX",51334.0,2023
"Brownsville-Harlingen, TX",52601.0,2024
"Brunswick, GA",44185.0,2015
"Brunswick, GA",45063.0,2016
"Brunswick, GA",44887.0,2017
"Brunswick, GA",48240.0,2018
"Brunswick, GA",50671.0,2019
"Brunswick, GA",53541.0,2020
"Brunswick, GA",55778.0,2021
"Brunswick, GA",60777.0,2022
"Brunswick-St. Simons, GA",64819.0,2023
"Brunswick-St. Simons, GA",66623.0,2024
"Buffalo-Cheektowaga, NY",57621.0,2019
"Buffalo-Cheektowaga, NY",59079.0,2020
"Buffalo-Cheektowaga, NY",62282.0,2021
"Buffalo-Cheektowaga, NY",67638.0,2022
"Buffalo-Cheektowaga, NY",70572.0,2023
"Buffalo-Cheektowaga, NY",72237.0,2024
"Buffalo-Cheektowaga-Niagara Falls, NY",50962.0,2015
"Buffalo-Cheektowaga-Niagara Falls, NY",52303.0,2016
"Buffalo-Cheektowaga-Niagara Falls, NY",53534.0,2017
"Buffalo-Cheektowaga-Niagara Falls, NY",55371.0,2018
"Burlington, NC",41814.0,2015
"Burlington, NC",43209.0,2016
"Burlington, NC",44281.0,2017
"Burlington, NC",45735.0,2018
"Burlington, NC",49688.0,2019
"Burlington, NC",51580.0,2020
"Burlington, NC",55078.0,2021
"Burlington, NC",60866.0,2022
"Burlington, NC",64445.0,2023
"Burlington, NC",65651.0,2024
"Burlington-South Burlington, VT",63255.0,2015
"Burlington-South Burlington, VT",64127.0,2016
"Burlington-South Burlington, VT",65476.0,2017
"Burlington-South Burlington, VT",68265.0,2018
"Burlington-South Burlington, VT",71413.0,2019
"Burlington-South Burlington, VT",73447.0,2020
"Burlington-South Burlington, VT",79246.0,2021
"Burlington-South Burlington, VT",86183.0,2022
"Burlington-South Burlington, VT",90911.0,2023
"Burlington-South Burlington, VT",93043.0,2024
"California-Lexington Park, MD",86987.0,2015
"California-Lexington Park, MD",86810.0,2016
"California-Lexington Park, MD",86508.0,2017
"California-Lexington Park, MD",90438.0,2018
"California-Lexington Park, MD",89845.0,2019
"California-Lexington Park, MD",95864.0,2020
